1.3. Kiểm tra chức năng 2. Text Tool                                                                                                                                        ,,,,,,,,,,,,,,,,,,,,,,,,
Draw_11,UI,Kiểm tra hiển thị mặc định,,"HS đã vào lớp, mở Whiteboard",1. HS quan sát thanh công cụ Whiteboard.,,"1. Biểu tượng Text (T) hiển thị đúng vị trí.
2. Text Tool ở trạng thái Disable / chưa được chọn.",Passed,Passed,No run,,,,,,,,,02/02/2026,05/02/2026,,,,
Draw_12,,Bật text,,HS đang ở Whiteboard,"1. HS click biểu tượng Text (T).
",,"1. Text Tool chuyển sang trạng thái Active.
",Failed,Passed,No run,,,,,,,,,02/02/2026,05/02/2026,,,,
Draw_13,,Tắt text,,Text Tool đang Active,1. HS click lại biểu tượng Text (T).,,"1. Text Tool trở về trạng thái Inactive.
2. Con trỏ trở về trạng thái mặc định.",N/A,N/A,No run,,,,,,,,,02/02/2026,05/02/2026,,,,
Draw_14,Tương tác với các nút ,Chuyển từ Text sang Pen Tool,,Text Tool đang Active,1. HS click Pen Tool.,,"1. Text Tool tự động tắt.
2. Pen Tool được kích hoạt.",Passed,Passed,No run,,,,,,,,,02/02/2026,05/02/2026,,,,
Draw_15,,Chuyển từ Text sang Shape Tool,,Text Tool đang Active,1. HS click Shape Tool.,,"1. Text Tool tự động tắt.
2. Shape Tool được kích hoạt.",Passed,Passed,No run,,,,,,,,,02/02/2026,,,,,
Draw_16,Tạo mới,Tạo vùng nhập Text,,Text Tool đang Active,1. HS click vào vùng cho phép nhập trên whiteboard.,,"1. Vùng nhập text được tạo.
2. Con trỏ nháy trong khung text.",Passed,Passed,No run,,,,,,,,,02/02/2026,,,,,
Draw_17,,Khung nhập text,,Đã tạo text,1. HS quan sát khung text.,,"1. Hiển thị viền khung text rõ ràng.
2. Có điểm resize ở các góc/cạnh.",Passed,Passed,No run,,,,,,,,,02/02/2026,,,,,
Draw_18,,Giới hạn vùng có thể nhập,,Text Tool đang Active,"1. HS click tại các vị trí: sát thanh công cụ, sát mép màn hình, gần nút cố định.",,"1. Không cho tạo text tại vùng bị giới hạn.
2. Không che UI cố định.",Passed,Passed,No run,,,,,,,,,02/02/2026,,,,,
Draw_19,,Tạo Text gần mép màn hình,,Text Tool đang Active,"1. HS click tạo text tại mép phải / trên / dưới màn hình.
2. Nhập nội dung dài.",,"1. Text vẫn hiển thị đầy đủ.
2. Không bị tràn ra ngoài màn hình.",Passed,Passed,No run,,,,,,,,,02/02/2026,,,,,
Draw_20,Nhập và chỉnh sửa Text,Check Nhập văn bản vào Text,,Đã tạo text,1. HS nhập một đoạn văn bản.,,"1. Text hiển thị đúng nội dung đã nhập.
2. Không bị mất ký tự.",Passed,Passed,No run,,,,,,,,,02/02/2026,,,,,
Draw_21,,Check Click ra ngoài vùng nhập,,Đang nhập text,"1. HS nhập text.
2. Click ra ngoài vùng nhập.",,"1. Nội dung được lưu.
2. Thoát chế độ nhập text.",Passed,Passed,No run,,,,,,,,,02/02/2026,,,,,
Draw_22,,Check Click lại Text đã tạo,,Text đã tồn tại,1. HS click vào vùng text đã tạo.,,"1. Text được focus lại.
2. Có thể chỉnh sửa nội dung.",Passed,Passed,No run,,,,,,,,,02/02/2026,,,,,
Draw_23,Resize textbox,Resize bằng kéo góc,,Text đã được tạo,"1. HS click chọn text.
2. Kéo góc khung text để phóng to / thu nhỏ.",,"1. Kích thước text thay đổi theo thao tác.
2. Nội dung không bị mất.",N/A,N/A,No run,,,,,,,,,02/02/2026,05/02/2026,,,,
Draw_24,,Kéo cạnh ngang / dọc,,,1. HS kéo cạnh ngang hoặc dọc của khung text.,,1. Chiều dài / chiều cao thay đổi đúng.,N/A,N/A,No run,,,,,,,,,02/02/2026,,,,,
Draw_25,,Kiểm tra giới hạn kích thước tối thiểu,,,1. HS kéo khung text nhỏ nhất có thể.,,"1. Không cho resize nhỏ hơn kích thước tối thiểu.
2. Text vẫn đọc được.",N/A,N/A,No run,,,,,,,,,02/02/2026,,,,,
Draw_26,Định dạng text,Kiểm tra font/text style ,,,1. HS thay đổi font / style,,1. Text hiển thị đúng định dạng đã chọn.,Passed,Passed,No run,,,,,,,,,02/02/2026,05/02/2026,,,,
