STT,Card,Tên,MT,Type,Priority,Status,Ngày tạo,Done,Reopen,Người tạo,Người sửa,Column 13,Note,,,,,,,,,,,,,,,
171,ESD-186,Kịch bản 2 lỗi Học sinh reconnect không nhận bảng nhóm mới và thao tác vẽ không đồng bộ với thành viên trong nhóm ,Smart,Bug,High,Chờ test,21/07/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
172,ESD-187,Giáo viên vào lại kênh chat bị mất lịch sử tin chat ,Smart,Bug,High,Ðã hoàn thành,31/07/2025,02/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
173,ESD-188,Mở PDF bị trắng ,Smart,Bug,High,Ðã hoàn thành,02/08/2025,02/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
174,ESD-189,Học sinh làm đúng câu nhưng chỉ được nửa điểm của câu đó,Smart,Bug,High,Ðã hoàn thành,01/08/2025,02/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
175,ESD-190,Giáo viên Reviewing learner của HS có bài chưa làm gì thì bị lỗi,Smart,Bug,High,Chờ test,01/08/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
176,ESD-191,Mở Slide bị trắng ,Smart,Bug,High,Ðã hoàn thành,01/08/2025,03/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
177,ESD-192,Bảng trắng của nhóm bị hiện sai khi giáo viên chia nhóm khi đang không ở board 1,Smart,Bug,High,Ðã hoàn thành,01/08/2025,03/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
178,ESD-193,Giáo viên đang không nhận được sơ đồ học sinh,Smart,Bug,High,Ðã hoàn thành,01/08/2025,02/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
180,ESD-195,"Khi thay đổi màu vẽ bằng bảng màu, nét vẽ không áp dụng màu mới ngay lập tức, cần phải chọn lại nét vẽ thì màu mới được cập nhật và áp dụng",Smart,Bug,High,Chưa thực hiện,01/08/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
181,ESD-196,"Khi thay đổi độ dày nét vẽ trong bảng chọn Line width, độ dày nét không thay đổi ngay lập tức, cần phải chọn lại nét vẽ thì mới được cập nhật và áp dụng",Smart,Bug,High,Chưa thực hiện,01/08/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
182,ESD-197,"Sau khi giáo viên xóa, giáo viên chuyển sang bảng khác rồi quay lại thì bảng bên học sinh vẫn hiện dữ liệu trước khi xóa của giáo viên",Smart,Bug,High,Ðã hoàn thành,01/08/2025,03/08/2025,,Đông,Quang,,,,,,,,,,,,,,,,,
183,ESD-198,"Nút Undo và Redo đang hoạt động không đúng, hiện tại sử dụng đang không đồng bộ giữa giáo viên và học sinh ",Smart,Bug,High,Ðã hoàn thành,01/08/2025,02/08/2025,,Hoa,Quang,,,,,,,,,,,,,,,,,
184,ESD-199,Thao tác kéo các hình pentool và shape tool chồng chéo nhau không đồng bộ giữa giáo viên và học sinh,Smart,Bug,High,Ðã hoàn thành,01/08/2025,03/08/2025,,Đông,Quang,,,,,,,,,,,,,,,,,
186,ESD-201,Máy học sinh không có mic nhưng icon mic hiện ở danh sách là bật,Smart,Bug,High,Chưa thực hiện,01/08/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
187,ESD-202,Đang không xổ ra dropdown khi giáo viên click vào,Smart,Bug,High,Chưa thực hiện,01/08/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
190,ESD-205,Canvas học sinh hiển thị sai sau khi giáo viên thoát và vào lại lớp,Smart,Bug,High,Ðã hoàn thành,01/08/2025,02/08/2025,,Hoa,Quang,,,,,,,,,,,,,,,,,
191,ESD-206,Học sinh vào nhóm group riêng thì vẫn hiện những tin nhắn ở nhóm chung,Smart,Bug,High,Thực hiện lại,01/08/2025,,1,Linh,Văn,,,,,,,,,,,,,,,,,
193,ESD-208,Chia từ 3 nhóm trở lên - Giáo viên không thấy được nét vẽ học sinh vẽ trước khi giáo viên join nhóm,Smart,Bug,High,Ðã hoàn thành,01/08/2025,03/08/2025,,Linh,Văn,,,,,,,,,,,,,,,,,
194,ESD-209,Vẽ lên Exercise lỗi,Smart,Bug,High,Ðã hoàn thành,01/08/2025,04/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
196,ESD-211,Giáo viên thoát room ở trang 3 nhưng vào lại thì lại chuyển về trang 1 ,Smart,Bug,High,Chưa thực hiện,02/08/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
197,ESD-212,Học sinh có thể xóa được nội dung của giáo viên khi ấn xóa tất cả (icon thùng rác),Smart,Bug,High,Chưa thực hiện,08/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
200,ESD-215,"Sau khi dừng chia nhóm, học sinh không đồng bộ whiteboard với giáo viên – vẫn thấy nét vẽ cũ của nhóm",Smart,Bug,High,Chưa thực hiện,02/08/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
201,ESD-216, Không có viền chọn khi chọn kiểu chữ,Smart,Bug,High,Chưa thực hiện,07/08/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
203,ESD-219,Không đồng bộ bảng thu nhỏ với bảng to,Smart,Bug,High,Ðã hoàn thành,07/08/2025,18/08/2025,,Vi,Quang,,,,,,,,,,,,,,,,,
206,ESD-223,Chat – Giáo viên nhận tin nhắn đôi khi học sinh gửi trong nhóm chat chung,Smart,Bug,High,Chờ test,08/08/2025,,,Linh,Văn,,,,,,,,,,,,,,,,,
207,ESD-224,Chat – Tên người trong danh sách chat riêng bị hiển thị sai thành “Tên người nhận + Chat”,Smart,Bug,High,Chưa thực hiện,08/08/2025,,,Linh,Văn,,,,,,,,,,,,,,,,,
208,ESD-225,Chat – Học sinh vẫn ở trong giao diện chat nhóm riêng sau khi giáo viên stop group,Smart,Bug,High,Chờ test,08/08/2025,,,Linh,Văn,,,,,,,,,,,,,,,,,
209,ESD-226,HS được cấp quyền vẽ sau khi đang trong nhóm lớp này rồi thoát ra rồi tham gia vào lớp khác,Smart,Bug,High,Chưa thực hiện,08/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
210,ESD-227,Ấn next ở trang cuối vẫn tăng số trang vượt quá giới hạn,Smart,Bug,High,Ðã hoàn thành,08/08/2025,13/08/2025,,Vi,Quang,,,,,,,,,,,,,,,,,
212,ESD-222,Thumbnails ko trở lại 10 board sau khi GV tắt bài giảng hơn 10 board,Smart,Bug,High,Ðã hoàn thành,08/08/2025,13/08/2025,,Vi,Quang,,,,,,,,,,,,,,,,,
213,ESD-230,HS được cấp quyền vẽ khi vào lại lớp,Smart,Bug,High,Chưa thực hiện,11/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
214,ESD-231,"Bố cục giao diện lộn xộn khi ấn Tab/ Shift + tab liên tục đến ""Participants""",Smart,Bug,High,Chưa thực hiện,11/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
219,ESD-236,Không đồng bộ chuột khi GV sử dụng Remote control,Smart,Bug,High,Chưa thực hiện,12/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
222,ESD-239,[Draw] HS nhấn Shift và click chuột nhưng không chọn được nhiều đối tượng trên bảng,Smart,Bug,High,Chưa thực hiện,12/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
228,ESD-246,[Draw] GV xóa được trang slide khi nhấn xóa tất cả (icon thùng rác),Smart,Bug,High,Chưa thực hiện,15/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
6,ESD-13,Không bật được camera trong phòng dù đã cấp quyền và camera hoạt động bình thường,Smart,Bug,Highest,Ðã hoàn thành,18/04/2025,07/05/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
