STT,Card,Tên,MT,Type,Priority,Status,Ngày tạo,Done,Reopen,Người tạo,Người sửa,Column 13,Note,,,,,,,,,,,,,,,
72,ESD-163,[Reconnect][Image] Học sinh vẫn thấy ảnh cũ sau khi reconnect dù giáo viên đã tắt ảnh,Smart,Bug,Medium,Chưa thực hiện,14/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
73,ESD-164,[Reconnect][Video] Học sinh reconnect bị trễ khi đang xem video do bị load 2 lần,Smart,Bug,Medium,Chưa thực hiện,14/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
74,ESD-165,[Reconnect][Video] Học sinh không đồng bộ thời gian khi giáo viên tua video lúc mất mạng,Smart,Bug,Medium,Chưa thực hiện,14/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
75,ESD-166,[Reconnect][Video] Học sinh vẫn thấy video sau khi reconnect dù giáo viên đã tắt,Smart,Bug,Medium,Chưa thực hiện,14/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
77,ESD-168,[Reconnect][Audio] Icon audio hiển thị sai sau reconnect dù đã dừng phát,Smart,Bug,Medium,Chưa thực hiện,14/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
78,ESD-169,[Reconnect][Audio] Học sinh vẫn thấy audio sau khi reconnect dù giáo viên đã tắt,Smart,Bug,Medium,Chưa thực hiện,14/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
79,ESD-170,[Reconnect][PDF] Học sinh hiển thị sai trang hoặc không hiển thị PDF sau reconnect,Smart,Bug,Medium,Chưa thực hiện,14/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
80,ESD-171,[Reconnect][Questions] Học sinh vẫn thấy câu hỏi sau reconnect dù giáo viên đã tắt,Smart,Bug,Medium,Chưa thực hiện,14/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
82,ESD-173,[Reconnect][Share screen] Học sinh vẫn thấy màn hình chia sẻ sau reconnect dù giáo viên đã tắt,Smart,Bug,Medium,Chưa thực hiện,14/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
83,ESD-174,[Reconnect][Divide groups] Học sinh reconnect nhưng vẫn ở group cũ sau khi giáo viên đã đổi nhóm,Smart,Bug,Medium,Chưa thực hiện,14/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
84,ESD-175,"[Reconnect][Divide groups] Học sinh mất mạng khi đang vẽ, reconnect xong vẽ tiếp nhưng không ai thấy",Smart,Bug,Medium,Chưa thực hiện,14/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
89,ESD-180,"Exercise - Học sinh bật sudio trong BT, tắt đi đang không mất hiển thị",Smart,Bug,Medium,Chưa thực hiện,18/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
90,ESD-149,[SR- School] [ Remove learner] - Hiển thị thông báo lỗi nhưng vẫn xóa học sinh,Smart,Bug,Medium,Chưa thực hiện,18/06/2025,,,Đào ,Quang,,,,,,,,,,,,,,,,,
91,ESD-121,[SR][Share screen-Screen] Màn hình chưa chuyển ngôn ngữ về tiếng Việt,Smart,Bug,Medium,Ðã hoàn thành,14/04/2025,02/06/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
92,ESD-120,[SR][ Chat - Files] - Hiển thị thông báo upload thành công nhưng lại không hiển thị trong danh sách khi có 11 tệp,Smart,Bug,Medium,Chưa thực hiện,14/04/2025,,,Đào ,Quang,,,,,,,,,,,,,,,,,
93,ESD-116,[SR-Teacher] - [Board] - Vẽ hình và thoát ra vào lại bảng thu nhỏ không lưu lại hình vẽ,Smart,Bug,Medium,Chưa thực hiện,05/12/2025,,,Đào ,Quang,,,,,,,,,,,,,,,,,
94,ESD-110,"[SR-Teacher][Participant-UI] - Từ ngữ không phù hợp & Context menu ở chế độ Dark mode hiển thị với màu nền trùng với nền phía sau , khiến tùy chọn khó nhìn",Smart,Bug,Medium,Ðã hoàn thành,08/05/2025,19/05/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
95,ESD-109,"[SR-Teacher][Participant-Remote Control] - GV có truy cập vào được màn hình học sinh, but lại không thao tác được trên màn hình học sinh.",Smart,Bug,Medium,Chưa thực hiện,05/08/2025,,,Đào ,Quang,,,,,,,,,,,,,,,,,
96,ESD-104,[SR-Teacher][Tools- Draw] - GV không vẽ được khi click icon Home để out ra và vào lại,Smart,Bug,Medium,Ðã hoàn thành,07/05/2025,02/06/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
97,ESD-102,[SR-Teacher][Content-History] - History khi chuyển về chế độ tối ( Dark mode),Smart,Bug,Medium,Ðã hoàn thành,07/05/2025,19/05/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
98,ESD-101,[SR- Teacher][Content]- Chuyển tiếng việt nhưng History không đổi,Smart,Bug,Medium,Ðã hoàn thành,07/05/2025,15/05/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
99,ESD-100,[SR-Teacher][Content- Upload]-Không upload được nhiều file & Ảnh đầu bị thay thế.,Smart,Bug,Medium,Chưa thực hiện,05/07/2025,,,Đào ,Quang,,,,,,,,,,,,,,,,,
100,ESD-99,"[SR-Teacher][Content- Library] - Không xóa được dữ liệu vừa nhập khi click ""x"" ở thanh tìm kiếm",Smart,Bug,Medium,Chưa thực hiện,05/07/2025,,,Đào ,Quang,,,,,,,,,,,,,,,,,
101,ESD-95,[SR- Teacher]- [Content- Share screen] - Thiếu màn Smart room khi click vào Application,Smart,Bug,Medium,Ðã hoàn thành,07/05/2025,22/05/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
102,ESD-84,[SR-Teacher][Class map-Devide groups]- Nhập topic quá 255 kí tự không báo lỗi,Smart,Bug,Medium,Ðã hoàn thành,06/05/2025,12/05/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
103,ESD-83,[SR-Teacher][ Class map- Devide group] - Hiển thị sai placeholder ở ô number of groups,Smart,Bug,Medium,Chưa thực hiện,05/06/2025,,,Đào ,Quang,,,,,,,,,,,,,,,,,
104,ESD-80,[SR-Teacher][Class map-Devide groups]- Màn hình giao diện bị lỗi không hiển thị được tên học sinh,Smart,Bug,Medium,Ðã hoàn thành,05/05/2025,15/05/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
105,ESD-79,[SR-Teacher][Class map- Send chart] - Chữ và màu nền không trùng nhau,Smart,Bug,Medium,Ðã hoàn thành,05/05/2025,15/05/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
106,ESD-78,[SR- Teacher][Class map- Settings] - Hiển thị sai trật tự ngữ pháp,Smart,Bug,Medium,Ðã hoàn thành,05/05/2025,15/05/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
107,ESD-73,[SR-Teacher][Tools - Transfer file] - Tệp PNG tải lên bị chuyển thành tệp .web khi tải xuống.,Smart,Bug,Medium,Ðã hoàn thành,28/04/2025,02/06/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
108,ESD-71,[SR-Teacher][Tools - Transfer file]- Khi click chỉ sắp xếp tăng không sắp xếp giảm,Smart,Bug,Medium,Ðã hoàn thành,28/04/2025,02/06/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
109,ESD-70,[SR-Teacher][Tools - Transfer file]- Không chọn người nhận nhưng vẫn confirm thành công,Smart,Bug,Medium,Chờ test,28/04/2025,,,Đào ,Quang,,,,,,,,,,,,,,,,,
110,ESD-69,[SR-Teacher][Tools - Transfer file]-3. Vẫn cho upload file không đúng định dạng,Smart,Bug,Medium,Ðã hoàn thành,28/04/2025,02/06/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
111,ESD-62,[SR- Learner] [Setting] Thiếu màn Smart room khi click vào Application,Smart,Bug,Medium,Ðã hoàn thành,26/04/2025,02/06/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
112,ESD-61,[SR-Learner] [Setting]- Màu sắc chữ cùng với màu viền trắng khi select dẫn tới không nhìn thấy chữ khi select màn hình,Smart,Bug,Medium,Ðã hoàn thành,26/04/2025,28/04/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
113,ESD-60,[SR-Learner] [Setting]- Thông báo chưa phù hợp & không xác định được màn hình đã chọn,Smart,Bug,Medium,Ðã hoàn thành,26/04/2025,02/06/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
114,ESD-54,[SR-Learner] [Setting]- Màu sắc chữ không nhìn thấy khi ở chế độ tối,Smart,Bug,Medium,Ðã hoàn thành,26/04/2025,28/04/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
115,ESD-48,[SR-Learner][Chat] - Màu chữ đen cũng màu với nền dẫn đến khó quan sát,Smart,Bug,Medium,Ðã hoàn thành,25/04/2025,28/04/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
116,ESD-44,[SR-Learner] -[Paticipants] - Khi chuyển sang chế độ tối tìm kiếm ở Participant không hiên thị kính lúp & màu chữ thông báo nhạt,Smart,Bug,Medium,Ðã hoàn thành,25/04/2025,02/06/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
117,ESD-40,[SR][Learner] - Chat - Tin nhắn bị lỗi tràn viền và không hiển thị đầy đủ,Smart,Bug,Medium,Ðã hoàn thành,24/04/2025,26/04/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
118,ESD-39,"[Grammar] [Learner] Không mất thông báo"" không được để trống"" khi GV tạo bài mới",Smart,Bug,Medium,Ðã hoàn thành,24/04/2025,02/06/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
119,ESD-38,[SR-Learner] -[Chat] Kiểm tra trạng thái online/offline ở Chat không đúng & Tiêu đề Chat không đổi khi Eng -> Vie,Smart,Bug,Medium,Thực hiện lại,24/04/2025,,,Đào ,Quang,,,,,,,,,,,,,,,,,
120,ESD-36,[Smart room] -[Learner] - Hệ thống không tự động loại bỏ khoảng trắng và không trả về kết quả,Smart,Bug,Medium,Ðã hoàn thành,22/04/2025,26/04/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
121,ESD-35,"[SR][Learner] - Participants- Hiển thị nhưng màu chữ quá nhạt , Nội dung chưa phù hợp, Icon Kính lúp không hoạt động",Smart,Bug,Medium,Ðã hoàn thành,21/04/2025,26/04/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
122,ESD-34,[Smart room] -[Learner] Giao diện Participants không đóng lại hoàn toàn khi click vào icon,Smart,Bug,Medium,Ðã hoàn thành,21/04/2025,26/04/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
123,ESD-32,[SR][Learner] - Classes - Có 2 section nghĩa không phù hợp,Smart,Bug,Medium,Ðã hoàn thành,18/04/2025,26/04/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
124,ESD-31,[Smart room] -[Learner] Khi chuyển sang tiếng việt - chữ ở màn Dashboard không thay đổi,Smart,Bug,Medium,Ðã hoàn thành,18/04/2025,26/04/2025,,Đào ,Quang,,,,,,,,,,,,,,,,,
125,ESD-11,Learner - Draw (chưa được cấp quyền),Smart,Bug,Medium,Ðã hoàn thành,18/04/2025,21/04/2025,,Hoa,Quang,,,,,,,,,,,,,,,,,
127,ESD-18,Drawing Toolbar - Move Toolbar Handle,Smart,Bug,Medium,Thực hiện lại,18/04/2025,,3,Hoa,Quang,,,,,,,,,,,,,,,,,
128,ESD-19,Join Room khi thời gian học của phòng đã kết thúc,Smart,Bug,Medium,Ðã hoàn thành,18/04/2025,28/04/2025,,Hoa,Quang,,,,,,,,,,,,,,,,,
131,ESD-28,Hover effect + Focus outline + Active state,Smart,Bug,Medium,Ðã hoàn thành,18/04/2025,26/05/2025,2,Hoa,Quang,,,,,,,,,,,,,,,,,
132,ESD-53,Drawing Toolbar - Text Tool,Smart,Bug,Medium,Thực hiện lại,25/04/2025,,1,Hoa,Quang,,,,,,,,,,,,,,,,,
133,ESD-55,Questions - Result,Smart,Task,Medium,Chưa thực hiện,26/04/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
134,ESD-56,Questions input,Smart,Bug,Medium,Ðã hoàn thành,26/04/2025,07/05/2025,,Hoa,Quang,,,,,,,,,,,,,,,,,
135,ESD-59,"Teacher | Delete Answer - Single choice question, Multiple choice question",Smart,Bug,Medium,Ðã hoàn thành,26/04/2025,12/05/2025,1,Hoa,Quang,,,,,,,,,,,,,,,,,
136,ESD-65,"Drawing Toolbar - Tạo, nhập Text Tool",Smart,Bug,Medium,Chưa thực hiện,26/04/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
137,ESD-81,Teacher | Create room - Lỗi xử lý phím Enter - Kích hoạt hành động Confirm sai,Smart,Bug,Medium,Thực hiện lại,06/05/2025,,1,Hoa,Quang,,,,,,,,,,,,,,,,,
138,ESD-85,Màn hình hiển thị thẻ phòng khi thu nhỏ màn hình,Smart,Bug,Medium,Chưa thực hiện,06/05/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
139,ESD-86,Kiểm tra trạng thái focus khi điều hướng bằng phím Tab / Shift + Tab,Smart,Bug,Medium,Chưa thực hiện,06/05/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
141,ESD-91,Out room - Không chuyển về tab tương ứng khi thời gian học kết thúc,Smart,Bug,Medium,Chưa thực hiện,06/05/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
143,ESD-105,Thanh công cụ vẽ bị tràn khỏi giao diện khi thu nhỏ màn hình,Smart,Bug,Medium,Chưa thực hiện,08/05/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
144,ESD-107,Resize textbox không hoạt động đúng,Smart,Bug,Medium,Chưa thực hiện,08/05/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
145,ESD-108,"Lỗi hiển thị khi vẽ mũi tên 1 chiều, 2 chiều",Smart,Bug,Medium,Chưa thực hiện,08/05/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
146,ESD-114,Teacher | Chế độ Dark mode - Class map config,Smart,Bug,Medium,Thực hiện lại,09/05/2025,,1,Hoa,Quang,,,,,,,,,,,,,,,,,
147,ESD-117,Teacher | Cải thiện hiển thị thông báo lỗi khi các trường bị bỏ trống trong modal tạo Question ,Smart,Task,Medium,Chưa thực hiện,12/05/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
148,ESD-118,Teacher | Nút Cancel tại modal tạo Question,Smart,Bug,Medium,Ðã hoàn thành,12/05/2025,20/05/2025,,Hoa,Quang,,,,,,,,,,,,,,,,,
149,ESD-126,Teacher | Thông báo lỗi khi tạo câu hỏi không hợp lệ (English / Tiếng Việt),Smart,Bug,Medium,Chưa thực hiện,20/05/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
150,ESD-133,Delete không đúng thứ tự,Smart,Bug,Medium,Pending,26/05/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
151,ESD-135,Learner | Thanh công cụ vẽ không tự động tắt khi chuyển sang thao tác khác,Smart,Bug,Medium,Chưa thực hiện,28/05/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
152,ESD-141,Teacher | Lỗi chấm điểm ,Smart,Bug,Medium,Chưa thực hiện,09/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
153,ESD-145,Learner | Modal Answer question bị che khuất bởi ảnh trên canvas,Smart,Bug,Medium,Chưa thực hiện,11/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
154,ESD-151,Lỗi công cụ vẽ Pen tool,Smart,Bug,Medium,Chưa thực hiện,20/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
155,ESD-152,Lỗi thay đổi độ dày nét ,Smart,Bug,Medium,Chưa thực hiện,20/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
156,ESD-153,Lỗi thay đổi màu tại các nét vẽ,Smart,Bug,Medium,Chưa thực hiện,20/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
157,ESD-154,Lỗi kết hợp đổi màu và độ dày khi vẽ,Smart,Bug,Medium,Chưa thực hiện,20/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
158,ESD-155,Hình vẽ chưa có giới hạn kích thước,Smart,Bug,Medium,Chưa thực hiện,20/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
159,ESD-156,Lỗi không phản hồi trực tiếp khi resize hình,Smart,Bug,Medium,Chưa thực hiện,20/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
160,ESD-157,Nút Undo trên thanh công cụ vẽ không hoàn tác được thao tác resize hình,Smart,Bug,Medium,Chưa thực hiện,20/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
161,ESD-158,Task cải tiến UI - Cải thiện hiển thị các nút trên thanh công cụ vẽ,Smart,Task,Medium,Chưa thực hiện,20/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
162,ESD-159,Tính ổn định khi click bật/tắt camera liên tục,Smart,Bug,Medium,Chưa thực hiện,20/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
163,ESD-160,Lỗi xử lý trạng thái lọc không rõ ràng,Smart,Bug,Medium,Chưa thực hiện,20/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
164,ESD-161,Lỗi hiển thị trạng thái của microphone,Smart,Bug,Medium,Chưa thực hiện,20/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
165,ESD-162,Không giới hạn chiều cao danh sách file - các file bị lấp sau nút Download all,Smart,Bug,Medium,Chưa thực hiện,20/06/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
179,ESD-194,"Khi vẽ không hiển thị các thao tác ở bên thumbnails, phải click sang bảng khác rồi click lại bảng đó thì mới cập nhật dữ  liệu",Smart,Bug,Medium,Chưa thực hiện,01/08/2025,,,Đông,Quang,,,,,,,,,,,,,,,,,
185,ESD-200,"GV và HS bật cam, HS đang bị lấy cam của GV",Smart,Bug,Medium,Chưa thực hiện,01/08/2025,,,Đào ,Quang,,,,,,,,,,,,,,,,,
188,ESD-203,Copy/Paste: Thao tác dán tạo ra hai đối tượng thay vì một đối tượng,Smart,Bug,Medium,Ðã hoàn thành,01/08/2025,02/08/2025,,Hoa,Quang,,,,,,,,,,,,,,,,,
189,ESD-204,"Đang không tự biến mất, HS phải tự click để ẩn canvas",Smart,Bug,Medium,Ðã hoàn thành,01/08/2025,03/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
192,ESD-207,"Lưu video record và xem lại, chỉ nghe tiếng HS, không nghe tiếng GV",Smart,Bug,Medium,Chưa thực hiện,01/08/2025,,,Đào ,Quang,,,,,,,,,,,,,,,,,
195,ESD-210,"Thumbnails và bảng trắng chỉ hiển thị 1 bảng sau khi mở Slide, mất các bảng tương ứng – xảy ra ở cả giáo viên và học sinh",Smart,Bug,Medium,Chưa thực hiện,01/08/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
198,ESD-213,Giáo viên đổi tên file nhưng khi transfer (gửi/đính kèm) thì hệ thống vẫn hiển thị tên file cũ.,Smart,Bug,Medium,Chưa thực hiện,02/08/2025,,,Đào ,Quang,,,,,,,,,,,,,,,,,
199,ESD-214,Exit group hoạt động chưa đúng ,Smart,Bug,Medium,Chưa thực hiện,02/08/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
202,ESD-217,Thanh công cụ vẽ không tắt đi sẽ đè lên giao diện các chức năng khác,Smart,Bug,Medium,Chưa thực hiện,07/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
204,ESD-220,Hover chuột vào các icon trong thanh công cụ vẽ nhưng ko đổi màu,Smart,Bug,Medium,Chưa thực hiện,07/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
205,ESD-221,Nhấn chọn chức năng trong thanh công cụ vẽ nhưng không đổi màu,Smart,Bug,Medium,Chưa thực hiện,08/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
211,ESD-229,Vẫn nhập được số khi đồng hồ chạy,Smart,Bug,Medium,Chưa thực hiện,08/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
215,ESD-232,Nhấn tab Invite lần nữa không đóng pop-up mà tự chuyển sang tab Participants,Smart,Bug,Medium,Chưa thực hiện,11/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
216,ESD-233,"Thanh tab (Invite, Participants, Chat) bị flexible, kéo dài sang trái khi mở Participants hoặc Chat",Smart,Bug,Medium,Chưa thực hiện,11/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
217,ESD-234,Thanh công cụ và nút home (icon ngôi nhà) bị lệch sang trái khi ấn Participants,Smart,Bug,Medium,Chưa thực hiện,11/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
218,ESD-235,Màn hình hiển thị bài giảng của HS to hơn so với màn hình hiển thị của GV,Smart,Bug,Medium,Chưa thực hiện,11/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
220,ESD-237,Ô nhập trang cho phép nhập ký tự + - và sau khi nhập số thì ko chuyển trang,Smart,Bug,Medium,Chưa thực hiện,12/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
224,ESD-241,HS khi nhấn xóa tất cả (Icon thùng rác) slide cũng bị xóa,Smart,Bug,Medium,Chưa thực hiện,12/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
229,ESD-247,GV vẫn mở được Video khi đang ở dạng bút vẽ,Smart,Bug,Medium,Chưa thực hiện,15/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
,ESD-255,"[School] - Không hiển thị thông báo khi nhấn whiteboard để thoát màn slide	",School,Bug,Medium,Chưa thực hiện,04/09/2025,,,Đào ,Quang,,,,,,,,,,,,,,,,,
,ESD-256,[School] Exercise → Start/Report → tab Preview Questions,School,Bug,High,Chưa thực hiện,04/09/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
,ESD-257,Không tắt thống kê thì khi assign lần 2 thì hiện lại thống kê cũ,School,Bug,High,Chưa thực hiện,05/09/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
,ESD-258,ALTP Bảng tóm tắt không hiển thị đáp án đúng sai,School,Bug,High,Chưa thực hiện,05/09/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
,ESD-259,Thống kê tiến độ của game Capypara hiển thị sai,School,Bug,High,Chưa thực hiện,05/09/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
,ESD-260,GV ko lưu state,School,Bug,High,Chưa thực hiện,09/09/2025,,,Vi,Văn,,,,,,,,,,,,,,,,,
,ESD-261,[Thumbnails] Không thể chuyển sang board khác trong thumbnails,School,Bug,High,Chưa thực hiện,18/09/2025,,,Hằng,Quang,,,,,,,,,,,,,,,,,
,ESD-262,[Upload] Không upload được file,School,Bug,High,Chưa thực hiện,18/09/2025,,,Hằng,Quang,,,,,,,,,,,,,,,,,
,ESD-263,"[Draw] Sau khi vẽ nhanh liên tục nhiều nét, sau đó vẽ thì không hiện lên màn hình HS",School,Bug,Medium,Chưa thực hiện,18/09/2025,,,Hằng,Quang,,,,,,,,,,,,,,,,,
,ESD-264,[Transfer file] Không thể chuyển file cho HS,School,Bug,High,Chưa thực hiện,18/09/2025,,,Hằng,Quang,,,,,,,,,,,,,,,,,
,ESD-265,[Divide] GV join nhóm nhưng không thấy nét vẽ trước đó của HS,School,Bug,High,Chưa thực hiện,18/09/2025,,,Hằng,Quang,,,,,,,,,,,,,,,,,
,ESD-266,[Divide] Màn hình nhóm hiện nét vẽ cũ của lần chia nhóm trước mỗi lần HS vẽ,School,Bug,High,Chưa thực hiện,22/09/2025,,,Hằng,Quang,,,,,,,,,,,,,,,,,
,ESD-267,Màn hình trắng khi thoát lớp sau khi bật slide/game/bài tập,School,Bug,Highest,Chưa thực hiện,22/09/2025,,,,,,,,,,,,,,,,,,,,,
,ESD-268,[Slide/Game/Bài tập] - Học sinh gửi kết quả nhưng bảng thống kê của giáo viên không cập nhật điểm,School,Bug,Highest,Chưa thực hiện,22/09/2025,,,,,,,,,,,,,,,,,,,,,
